Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	BS_BIOSAMPLE_TITLE	BS_BIOSAMPLE_ORGANISM	BS_isolation_source	BS_collection_date	BS_geo_loc_name	BS_lat_lon	BS_sample_ID	ARG_TOTAL_HITS	ARG_UNIQUE_NORMALIZED_LABELS	ARG_STATUS	BS_ID	BS_BIOSAMPLE_COMMENT	BS_host	BS_ENA_first_public	BS_ENA-CHECKLIST	BS_INSDC_center_name	BS_INSDC_status	BS_Submitter_Id	BS_sample_name	BS_scientific_name	BS_GUNC_clade_separation_score	BS_GUNC_contamination_score	BS_GUNC_reference_representation_score	BS_GUNC_version	BS_MAG_coverage_software	BS_SPIRE_genome_cluster	BS_SPIRE_genome_id	BS_assembly_quality	BS_assembly_software	BS_binning_parameters	BS_binning_software	BS_env_broad_scale	BS_completeness_score	BS_completeness_software	BS_contamination_score	BS_contig_N50	BS_derived_from_assembly	BS_env_medium	BS_geographic_location_(latitude)	BS_geographic_location_(longitude)	BS_linked_to_SPIRE_sample	BS_linked_to_SPIRE_study	BS_linked_to_analysis_project	BS_local_environmental_context	BS_metagenomic_source	BS_number_of_contigs	BS_project_name	BS_sample_derived_from	BS_taxonomic_classification	BS_taxonomic_classification_software	BS_taxonomic_identity_marker
SRR21621033	2023-02-23 03:54:48	2022-09-19 06:50:07	60505963	18151788900	60505963	300	5876		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21621/SRR21621033/SRR21621033.lite.1	SRX17621920	E_VB_post_a	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157449	SAMN30917072	simple	256318	metagenome	10_EVB							no					CNR	SRA1500350		public	552A31EC8618529BEB19E21A25388F37	878A96DEB5C6E3F6CC0CB2A75C14D41B	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-11-29	Italy: Verbania	45.9356 N 8.5591 E	E_VB_post_a	13	13	Detected																																									
SRR21621034	2023-02-23 03:54:48	2022-09-19 06:52:57	47431509	14229452700	47431509	300	4621		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21621/SRR21621034/SRR21621034.lite.1	SRX17621919	E_VB_pre_a	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157448	SAMN30917071	simple	256318	metagenome	9_EVB							no					CNR	SRA1500350		public	27F771C0DEDC9600B7F671EB916DCBDB	7EC2FF50A4385E90F98E11B6FC4247EE	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-11-29	Italy: Verbania	45.9356 N 8.5591 E	E_VB_pre_a	5	5	Detected																																									
SRR21621035	2023-02-23 03:54:49	2022-09-19 06:56:38	46349829	13904948700	46349829	300	4566		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR021/21621/SRR21621035/SRR21621035.lite.1	SRX17621918	I_CB_post_d	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157447	SAMN30917070	simple	256318	metagenome	8_ICB							no					CNR	SRA1500350		public	E0E94E5A7019206C4C35CE0159DA2692	B4B9E68BC8A6E016F8329DBBD53CD251	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-12-21	Italy: Cannobio	46.0661 N 8.6920 E	I_CB_post_d	19	19	Detected																																									
SRR21621036	2023-02-23 03:54:49	2022-09-19 06:56:51	48957609	14687282700	48957609	300	4797		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21621/SRR21621036/SRR21621036.lite.1	SRX17621917	I_CB_pre_d	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157446	SAMN30917069	simple	256318	metagenome	7_ICB							no					CNR	SRA1500350		public	3E1081E701BD72B96512D0A8A9A155D9	EA58F427C12B2EC00855EAC98DD4F99C	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-12-21	Italy: Cannobio	46.0661 N 8.6920 E	I_CB_pre_d	25	25	Detected																																									
SRR21621037	2023-02-23 03:54:49	2022-09-19 06:52:26	50092846	15027853800	50092846	300	4912		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21621/SRR21621037/SRR21621037.lite.1	SRX17621916	I_CB_post_c	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157445	SAMN30917068	simple	256318	metagenome	6_ICB							no					CNR	SRA1500350		public	97D973967345EF12B6714ECD9AF7A0B2	4B0865542860D189EB4C61E44AE42A65	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-12-14	Italy: Cannobio	46.0661 N 8.6920 E	I_CB_post_c	18	18	Detected																																									
SRR21621038	2023-02-23 03:54:49	2022-09-19 06:52:30	51128606	15338581800	51128606	300	5006		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21621/SRR21621038/SRR21621038.lite.1	SRX17621915	I_CB_pre_c	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157444	SAMN30917067	simple	256318	metagenome	5_ICB							no					CNR	SRA1500350		public	D60A810CEC82A491C8158671AC2D8F9F	909A84F134C3E38B18BD683B0B5BE1CF	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-12-14	Italy: Cannobio	46.0661 N 8.6920 E	I_CB_pre_c	20	20	Detected																																									
SRR21621039	2023-02-23 03:54:49	2022-09-19 06:58:40	56665846	16999753800	0	300	5500		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21621/SRR21621039/SRR21621039.lite.1	SRX17621914	I_VB_post_b	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157443	SAMN30917066	simple	256318	metagenome	4_IVB							no					CNR	SRA1500350		public	C280F66CCE72E421D93A745D9AA8D048	B56801014B69621D63E0089313D8ABA6	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-12-06	Italy: Verbania	45.9356 N 8.5591 E	I_VB_post_b	15	15	Detected																																									
SRR21621040	2023-02-23 03:54:49	2022-09-19 06:59:26	57645743	17293722900	57645743	300	5609		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21621/SRR21621040/SRR21621040.lite.1	SRX17621913	I_VB_pre_b	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157442	SAMN30917065	simple	256318	metagenome	3_IVB							no					CNR	SRA1500350		public	C478A353CF35B7E33C16F70B2EEA9847	C7A199E235D0FAF0FBED47F9C5F5BD2D	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-12-06	Italy: Verbania	45.9356 N 8.5591 E	I_VB_pre_b	16	16	Detected																																									
SRR21621041	2023-02-23 03:54:49	2022-09-19 06:53:23	46600557	13980167100	46600557	300	4581		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21621/SRR21621041/SRR21621041.lite.1	SRX17621912	E_CB_post_d	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157441	SAMN30917078	simple	256318	metagenome	16_ECB							no					CNR	SRA1500350		public	552591AD84667E0BEC219BBC9390D611	20C2526092E45718F3F0174A60B30A2B	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-12-21	Italy: Cannobio	46.0661 N 8.6920 E	E_CB_post_d	1	1	Detected																																									
SRR21621042	2023-02-23 03:54:49	2022-09-19 07:02:32	49180197	14754059100	49180197	300	4809		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21621/SRR21621042/SRR21621042.lite.1	SRX17621911	E_CB_pre_d	WGS	RANDOM PCR	METAGENOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP397973	PRJNA881852		881852	SRS15157440	SAMN30917077	simple	256318	metagenome	15_ECB							no					CNR	SRA1500350		public	8E8FB6E6BEB822509AAAADE41655C89C	10237E4D6C3EBFC4848BB3112B312585	Metagenome or environmental sample from metagenome	metagenome	wastewater	2021-12-21	Italy: Cannobio	46.0661 N 8.6920 E	E_CB_pre_d	0	0	No hit at threshold																																									
